ticker,company_name,Current Market Value,Closing Price,Total Volume,% Chg in Price,Net Sales,FE Growth Sales Mean CY 1CY Roll Over -1AW,EBITDA Margin,Net Inc Before Extra & Disc Op,Free Cash Flow,Total Debt% Equity,Price / Earns Ratio,Entrpr Value/ EBITDA,Price /Sales CFY,Number of Insider Purchases (last year),EPS Report Date,FE Price_Tgt Mean ,Option Volume,Put/Call Ratio,Option Open interest,Theor. Imp Vol,Industry,Short Interest,3y BETA Rel to Loc Idx,Local Price 52 Week Low,Local Price 52 Week High,Average Daily Volume,Entrpr Value/ Sales,EV/FCF,1y - Compound Tot Ret,2y - Compound Tot Ret,5y - Compound Tot Ret,10y - Compound Tot Ret,IV Rank,IV Max - 1y,IV Min -1y,Exchng Ticker,Net Sales - 0y ago,Net Sales - 1y ago,Net Sales - 2y ago,Net Sales - 3y ago,Net Sales - 5y ago,Net Sales - 10y ago
STRL,"Sterling Infrastructure, Inc.","29,367.4",957.0,1.0,3.8,"2,490.0",0.0,19.7,290.2,361.3,31.6,32.7,19.1,3.8,0.0,20260225,933.9,"1,575.0",0.5,"10,725.0",83.0,Engineering & Construction,5.8,2.4,191.0,971.8,1.0,3.8,26.1,392.7,714.8,"3,807.8","18,304.4",100.0,0.8,0.5,STRL-USA,"2,490.0","2,115.8","1,972.2","1,769.4","1,427.4",623.6
MTZ,"MasTec, Inc.","29,210.0",369.7,1.0,1.4,"14,299.2",-0.0,7.6,399.0,285.7,85.9,42.9,17.7,1.2,0.0,20260226,488.3,"1,597.0",0.2,"25,477.0",60.3,Engineering & Construction,5.3,2.1,153.8,441.4,1.0,1.4,68.5,131.6,230.4,209.8,"1,522.7",100.0,0.6,0.4,MTZ-USA,"14,299.2","12,303.5","11,995.9","9,778.0","6,321.0","4,208.3"
VEEV,Veeva Systems Inc Class A,"29,166.9",178.7,4.5,-0.1,"3,157.0",1.1,31.0,892.7,"1,386.1",1.3,37.5,27.6,10.7,0.0,20260304,264.6,"14,330.0",0.5,"43,041.0",73.3,Packaged Software,7.0,0.8,148.1,310.5,4.5,8.6,19.9,-37.2,4.3,-37.3,411.9,95.5,0.6,0.3,VEEV-USA,"3,195.3","2,746.6","2,363.7","2,155.1","1,465.1",409.2
VICI,VICI Properties Inc,"29,163.1",27.3,8.9,-0.3,"4,006.1",0.0,91.1,"2,775.5","2,508.7",63.6,10.8,13.0,7.5,0.0,20260225,34.2,"1,080.0",2.3,"89,285.0",20.8,Real Estate Investment Trusts,2.7,0.6,26.6,34.0,8.9,11.8,18.9,-8.8,6.3,12.0,,87.1,0.3,0.2,VICI-USA,"4,006.1","3,849.2","3,612.0","2,600.7","1,225.6",18.1
NVT,nVent Electric plc,"28,525.8",176.4,2.0,-1.4,"3,893.1",0.0,21.4,428.5,371.9,45.9,39.2,21.8,4.3,0.0,20260206,191.4,"1,461.0",0.0,"53,017.0",57.0,Electronic Components,2.6,1.8,65.8,178.0,2.0,4.7,49.1,168.5,126.3,480.8,,98.5,0.6,0.3,NVT-USA,"3,893.1","3,006.1","2,668.9","2,909.0","1,998.6","1,809.3"
SMCI,"Super Micro Computer, Inc.","28,519.2",47.4,51.0,-1.1,"28,057.1",0.0,3.9,872.8,"1,532.3",70.7,29.4,23.2,1.4,0.0,20250805,36.3,"270,698.0",0.3,"2,465,091.0",83.2,Computer Processing Hardware,15.8,3.2,19.5,62.4,51.0,1.4,19.8,9.8,-38.5,"1,202.4","1,684.7",77.1,0.9,0.6,SMCI-USA,"21,972.0","14,989.3","7,123.5","5,196.1","3,339.3","1,991.2"
NRG,"NRG Energy, Inc.","28,221.5",133.8,2.5,-0.3,"30,662.0",0.8,12.0,864.0,766.0,988.8,39.8,11.9,1.0,0.0,20260224,207.5,"1,160.0",1.0,"55,911.0",48.7,Electric Utilities,2.0,1.2,121.2,190.0,2.5,1.4,57.7,-16.0,75.9,346.5,844.5,67.2,0.6,0.4,NRG-USA,"30,662.0","28,100.0","28,592.0","31,628.0","8,967.0","14,937.0"
GEHC,GE Healthcare Technologies Inc.,"28,216.9",62.0,4.3,2.9,"20,625.0",-0.0,16.8,"2,084.0","1,505.0",100.8,18.0,12.5,1.8,40.0,20260204,78.6,"2,580.0",0.8,"65,352.0",32.7,Medical Specialties,2.7,0.8,58.8,89.8,4.3,2.1,29.1,-12.7,-19.3,,,62.1,0.4,0.3,GEHC-USA,"20,625.0","19,672.0","19,552.0","18,341.0","17,164.0",
TPR,"Tapestry, Inc.","28,207.5",139.6,2.4,0.6,"7,514.8",0.0,24.1,522.3,"1,093.9",715.5,105.8,13.9,2.8,0.0,20250814,169.8,"2,390.0",0.1,"64,209.0",37.3,Apparel/Footwear Retail,7.8,1.7,77.8,162.0,2.4,3.2,20.3,80.0,228.6,272.7,371.4,26.7,0.6,0.4,TPR-USA,"7,010.7","6,671.2","6,660.9","6,684.5","4,961.4","4,191.6"
CPRT,"Copart, Inc.","28,098.4",30.4,9.7,1.4,"4,627.4",0.1,41.3,"1,569.6","1,230.8",1.0,28.5,20.7,9.5,0.0,20250904,40.6,"1,688.0",0.9,"59,067.0",37.4,Specialty Stores,3.9,0.7,30.0,51.0,9.7,8.5,32.2,-40.5,-42.4,-1.8,397.4,73.8,0.4,0.3,CPRT-USA,"4,647.0","4,236.8","3,869.5","3,500.9","2,205.6","1,146.1"
DXCM,"DexCom, Inc.","28,080.0",72.8,4.1,-0.2,"4,662.0",-0.0,25.0,836.3,"1,077.2",50.6,31.8,22.5,5.8,0.0,20260212,83.5,"1,879.0",1.1,"99,877.0",41.0,Medical Specialties,4.6,1.6,54.1,90.0,4.1,5.6,24.4,-16.2,-36.8,-22.7,331.2,24.2,0.8,0.3,DXCM-USA,"4,662.0","4,033.0","3,622.3","2,909.8","1,926.7",402.0
ARES,Ares Management Corporation,"27,761.3",123.1,3.7,6.0,"6,460.1",0.0,31.9,484.8,"1,544.3",334.8,91.6,25.8,5.4,,20260205,147.4,"1,654.0",6.3,"98,543.0",49.0,Investment Managers,7.8,1.1,95.8,195.3,3.7,8.3,34.9,-24.6,-5.6,155.2,"1,191.2",52.6,0.7,0.3,ARES-USA,"6,460.1","4,215.3","3,972.2","3,133.6","1,658.2",825.9
EIX,Edison International,"27,266.5",70.9,3.4,1.3,"19,317.0",0.0,43.9,"4,555.0",-715.0,236.4,5.2,7.7,1.2,0.0,20260218,74.5,"1,325.0",0.2,"35,649.0",33.6,Electric Utilities,3.4,0.1,47.7,76.2,3.4,3.5,-93.3,34.2,3.1,59.7,48.5,44.8,0.5,0.3,EIX-USA,"19,317.0","17,599.0","16,338.0","17,220.0","13,578.0","11,524.0"
FICO,Fair Isaac Corporation,"27,241.4","1,174.7",0.3,-0.7,"2,062.9",0.0,48.8,657.8,739.4,,56.4,41.7,18.5,0.0,20251105,"1,499.6","1,479.0",2.0,"18,024.0",58.6,Financial Publishing/Services,7.8,1.4,870.0,"1,998.0",0.3,19.9,53.7,-32.6,-9.2,144.8,941.0,72.4,0.7,0.4,FICO-USA,"1,990.9","1,717.5","1,513.6","1,377.3","1,294.6",838.8
